,filename,dkl
0,0.01,3.827955816
1,0.06,2.191874075
2,0.11,1.663232999
3,0.16,1.38882356
4,0.21,1.146965954
5,0.26,0.972695727
6,0.31,0.872020958
7,0.36,0.788448779
8,0.41,0.686008479
9,0.46,0.608034817
10,0.51,0.553989518
11,0.56,0.517019794
12,0.61,0.488333403
13,0.66,0.434507188
14,0.71,0.407068846
15,0.76,0.367052775
16,0.81,0.346846384
17,0.86,0.321755625
18,0.91,0.309910961
19,0.96,0.289515496
20,1.01,0.269984941
21,1.06,0.263053081
22,1.11,0.254166372
23,1.16,0.233206547
24,1.21,0.226321453
25,1.26,0.211608555
26,1.31,0.205830705
27,1.36,0.192835651
28,1.41,0.181065642
29,1.46,0.169776026
30,1.51,0.162206747
31,1.56,0.158699672
32,1.61,0.14971328
33,1.66,0.14588134
34,1.71,0.1375305
35,1.76,0.128558438
36,1.81,0.123258846
37,1.86,0.117889763
38,1.91,0.114270354
39,1.96,0.110530217
40,2.01,0.105556772
41,2.06,0.097937301
42,2.11,0.097420723
44,2.21,0.085839292
45,2.26,0.085433706
46,2.31,0.081240776
47,2.36,0.076061176
48,2.41,0.070301578
49,2.46,0.065069539
50,2.51,0.063701474
51,2.56,0.063558111
52,2.61,0.059471214
53,2.66,0.058753756
54,2.71,0.05456538
55,2.76,0.053241598
56,2.81,0.047093461
57,2.86,0.04811592
58,2.91,0.045550556
59,2.96,0.043927385
60,3.01,0.040785094
61,3.06,0.03913322
62,3.11,0.035522941
63,3.16,0.035800734
64,3.21,0.035778481
65,3.26,0.02968748
66,3.31,0.03201628
67,3.36,0.030107016
68,3.41,0.025038686
69,3.46,0.025788632
70,3.51,0.025709868
71,3.56,0.023274496
72,3.61,0.023157396
73,3.66,0.021387214
74,3.71,0.021371975
75,3.76,0.018960005
76,3.81,0.018961075
77,3.86,0.017285666
78,3.91,0.016909243
79,3.96,0.017693514
80,4.01,0.015336525
81,4.06,0.01627806
82,4.11,0.015354286
83,4.16,0.013673994
84,4.21,0.013152585
85,4.26,0.012146264
86,4.31,0.011397181
87,4.36,0.010705101
88,4.41,0.010664281
89,4.46,0.009973414
90,4.51,0.00944322
91,4.56,0.008075795
92,4.61,0.008480463
93,4.66,0.009614416
94,4.71,0.008049783
95,4.76,0.006942013
96,4.81,0.006614738
97,4.86,0.006664857
98,4.91,0.006590523
99,4.96,0.007255801
100,5.01,0.005918932
101,5.06,0.004511119
102,5.11,0.005458569
103,5.16,0.005520982
104,5.21,0.004959644
105,5.26,0.004919828
106,5.31,0.004210443
107,5.36,0.003856962
108,5.41,0.003372303
109,5.46,0.004004529
110,5.51,0.003910013
111,5.56,0.003446081
112,5.61,0.003873886
113,5.66,0.002971906
114,5.71,0.002296046
115,5.76,0.002449081
116,5.81,0.001855888
117,5.86,0.0028214
118,5.91,0.001639194
119,5.96,0.002335694
120,6.01,0.002651168
121,6.06,0.00214692
122,6.11,0.001970334
123,6.16,0.001286512
124,6.21,0.001578209
125,6.26,0.002539975
126,6.31,0.001392389
127,6.36,0.001866166
128,6.41,0.001198108
129,6.46,0.001554222
130,6.51,0.001017555
131,6.56,0.001427686
132,6.61,0.001072902
133,6.66,0.001029758
134,6.71,0.000667984
135,6.76,0.001158158
136,6.81,0.001081343
137,6.86,0.000629184
138,6.91,0.000731524
139,6.96,0.000833415
140,7.01,0.001047648
141,7.06,0.000679577
142,7.11,0.000769872
143,7.16,0.000849675
144,7.21,0.000853038
145,7.26,0.000503825
146,7.31,0.000405164
147,7.36,0.000442194
148,7.41,0.000608756
149,7.46,0.000527925
150,7.51,0.000658636
151,7.56,0.000452764
152,7.61,0.000387722
153,7.66,0.000176214
154,7.71,0.000410632
155,7.76,0.000436221
156,7.81,0.000422774
157,7.86,0.000348772
158,7.91,0.000102271
159,7.96,0.000286547
160,8.01,0.000217068
161,8.06,0.000169088
162,8.11,0.000107958
163,8.16,0.000184895
164,8.21,0.000358327
165,8.26,0.000189865
166,8.31,0.000257967
167,8.36,0.000161303
168,8.41,0.000245654
169,8.46,0.000166289
170,8.51,1.29E-05
171,8.56,0.000254178
172,8.61,0.000195071
173,8.66,0.000123364
174,8.71,4.10E-05
175,8.76,9.58E-05
176,8.81,3.07E-05
177,8.86,0.00021694
178,8.91,0.000206217
179,8.96,3.15E-05
180,9.01,3.11E-05
181,9.06,0.000138874
182,9.11,0.000168475
183,9.16,1.20E-05
184,9.21,6.66E-05
185,9.26,6.15E-05
186,9.31,1.52E-05
187,9.36,1.92E-06
188,9.41,0.000133269
189,9.46,0
190,9.51,0
191,9.56,9.18E-05
192,9.61,6.15E-05
193,9.66,0
194,9.71,4.10E-05
195,9.76,0
196,9.81,3.61E-06
197,9.86,3.29E-05
198,9.91,0
199,9.96,0.000122971
