,filename,mean_difference,dkl
0,0.01,,3.0235112899052314
1,0.01,,3.1053080359328646
2,0.01,,3.714209893855172
3,0.01,,3.0907040777724215
4,0.01,,2.5625563652256065
5,0.01,,3.1004019394751383
6,0.01,,2.7669684116326594
7,0.01,,2.833737235792453
8,0.01,,2.6620000368489056
9,0.01,,3.308729151423354
10,0.01,,3.3226440930507493
11,0.01,,3.4020660780243337
12,0.01,,3.37992077285471
13,0.01,,3.181981714011325
14,0.01,,3.3935474870744353
15,0.01,,4.402245890262687
16,0.01,,3.1523077873919023
17,0.01,,3.6685966628898417
18,0.01,,3.299276139746971
19,0.01,,2.4394291339948255
20,0.01,,4.172925849261021
21,0.01,,3.5356056323195872
22,0.01,,3.5020360983908922
23,0.01,,2.3359507450238977
24,0.01,,2.993620867430672
25,0.01,,3.692281945489749
26,0.01,,4.050957286803921
27,0.01,,3.1203080027215937
28,0.01,,3.23138147840621
29,0.01,,3.233743724942201
30,0.01,,3.2763898181389
31,0.01,,3.586373508690595
32,0.01,,3.806450045423519
33,0.01,,3.046515070437699
34,0.01,,3.1993756619881126
35,0.01,,3.6376051452719307
36,0.01,,2.948854170762777
37,0.01,,2.5434441912475143
38,0.01,,2.8982544222990385
39,0.01,,4.023814325611038
40,0.01,,4.513599189975044
41,0.01,,4.906117751978972
42,0.01,,3.8844173245551334
43,0.01,,4.539765677832608
44,0.01,,3.3851570029482994
45,0.01,,3.591039123674125
46,0.01,,2.555153348889116
47,0.01,,3.8620266828947196
48,0.01,,3.4679562656648355
49,0.01,,2.7231745851098172
50,0.01,,2.9463749099118144
51,0.01,,3.2895549200197647
52,0.01,,1.9952476192167101
53,0.01,,4.001864813525732
54,0.01,,4.559646565437814
55,0.01,,3.0647456706991782
56,0.01,,4.461304620583899
57,0.01,,2.8275622841852317
58,0.01,,3.40395636420738
59,0.01,,2.875354521266515
60,0.01,,3.5167802820872462
61,0.01,,2.803779615820774
62,0.01,,4.171219170473652
63,0.01,,3.4218103857481537
64,0.01,,2.927415289864864
65,0.01,,3.0791385794077324
66,0.01,,2.563314889246654
67,0.01,,2.62192791726038
68,0.01,,4.574843101925257
69,0.01,,3.3510079218704556
70,0.01,,2.769676530055559
71,0.01,,3.3329607207601692
72,0.01,,3.8678131651350154
73,0.01,,3.9246533711620817
74,0.01,,3.4893190780987777
75,0.01,,2.829566439624806
76,0.01,,2.984470444248993
77,0.01,,3.3353883087684535
78,0.01,,3.510329507744313
79,0.01,,3.4152639306600037
80,0.01,,4.379030976813132
81,0.01,,2.917623815717259
82,0.01,,3.1409130733466997
83,0.01,,3.1106361033008474
84,0.01,,3.6871125896220156
85,0.01,,2.9106257718119464
86,0.01,,3.761936476713457
87,0.01,,2.263476714305032
88,0.01,,2.8729913255158825
89,0.01,,2.8803798698762892
90,0.01,,3.145427317086995
91,0.01,,3.8472326717468133
92,0.01,,3.1478476088345784
93,0.01,,2.974419098442613
94,0.01,,2.96098428553259
95,0.01,,3.5435566974077837
96,0.01,,3.0444698065616977
97,0.01,,2.5518984717122133
98,0.01,,2.502501463792038
99,0.01,,3.3187664839629747
100,0.06,,1.7934531854499467
101,0.06,,1.886711882493303
102,0.06,,2.192144011204622
103,0.06,,2.2114700879947886
104,0.06,,1.8246232743305564
105,0.06,,1.577660089332289
106,0.06,,1.4405619480386902
107,0.06,,2.575080064540122
108,0.06,,2.055410674471192
109,0.06,,1.6484198492395148
110,0.06,,1.6535548670363276
111,0.06,,1.601416641621751
112,0.06,,1.4642209910198918
113,0.06,,2.977724769616183
114,0.06,,1.6824354336623046
115,0.06,,2.443776934723932
116,0.06,,1.8420903386966005
117,0.06,,1.7411858125551705
118,0.06,,1.766909049024029
119,0.06,,1.3751198605558954
120,0.06,,2.272344392702727
121,0.06,,2.0704574908655227
122,0.06,,1.7583579762608152
123,0.06,,2.264304717055884
124,0.06,,1.9817536629761396
125,0.06,,1.9388226989219748
126,0.06,,1.6865692827873116
127,0.06,,2.409088757154602
128,0.06,,1.7097950271138778
129,0.06,,1.953623032489347
130,0.06,,1.4336936073429913
131,0.06,,2.352195198128193
132,0.06,,1.6471517806930651
133,0.06,,1.3117555448042817
134,0.06,,1.600951985835492
135,0.06,,1.4348615809917054
136,0.06,,1.6189171101535618
137,0.06,,1.9967880889585659
138,0.06,,1.8090041315144165
139,0.06,,2.436899788176422
140,0.06,,1.800188028431705
141,0.06,,2.003302062976922
142,0.06,,1.8672270925788352
143,0.06,,1.5061793162452852
144,0.06,,1.542546557999531
145,0.06,,2.3058174633794857
146,0.06,,1.5556625451488728
147,0.06,,1.6077124798250888
148,0.06,,1.8549271716370659
149,0.06,,1.9520203312911968
150,0.06,,1.8225788629452757
151,0.06,,1.4929678830426338
152,0.06,,1.8538908980309778
153,0.06,,3.0412373051920225
154,0.06,,1.280432537998176
155,0.06,,1.679303795537117
156,0.06,,1.6955202402604965
157,0.06,,1.9331164563778556
158,0.06,,1.8370119489897447
159,0.06,,2.8876615758273108
160,0.06,,1.8517566855099425
161,0.06,,1.8590279550773188
162,0.06,,1.8597634465703423
163,0.06,,2.0857604944184143
164,0.06,,2.6099992796022367
165,0.06,,1.4316570504107855
166,0.06,,2.3211661358841362
167,0.06,,1.7390875510085284
168,0.06,,1.5377656690880595
169,0.06,,2.2142138434599627
170,0.06,,2.203646453729991
171,0.06,,2.2896680655215316
172,0.06,,1.8825511552353789
173,0.06,,1.5666374266470893
174,0.06,,1.8472080922995746
175,0.06,,2.4991074958153594
176,0.06,,2.1607194986920475
177,0.06,,2.290376674360225
