,filename,dkl
0,0.01,0.01185062435733148
1,0.06,0.07512761951294049
2,0.11,0.1806583960464627
3,0.16,0.3399889694854667
4,0.21,0.6667213138069913
5,0.26,1.0529682012832553
6,0.31,1.0480403948088293
7,0.36,1.0335381682440354
8,0.41,1.0434123283103305
9,0.46,1.0667282531042486
10,0.51,1.0749617148193271
11,0.56,1.1141016714344194
12,0.61,1.1172793858721464
13,0.66,1.157058086361051
14,0.71,1.1693535756610358
15,0.76,1.2005667541974228
16,0.81,1.2566812133556933
17,0.86,1.2981648622133852
18,0.91,1.399878851767329
19,0.96,1.4242298177862802
