,filename,dkl
0,0.01,0.09621046699741084
1,0.06,3.316743755738839
2,0.11,2.857291228977082
3,0.16,2.7050920577894457
4,0.21,2.7124724991673648
5,0.26,2.4352338975652312
6,0.31,2.072301718590201
7,0.36,2.6907391821328526
8,0.41,2.433693737298567
9,0.46,2.2726953802918404
10,0.51,2.274862692441433
11,0.56,2.1546927956708557
12,0.61,2.282552854363997
13,0.66,2.115173008273873
14,0.71,2.0839408481816135
15,0.76,2.285456390111644
16,0.81,2.1606685453730434
17,0.86,2.1986515997154625
18,0.91,2.337283168576699
19,0.96,2.053490283287312
