,filename,dkl
0,0.01,0.028563940041239414
1,0.06,0.22354098708208486
2,0.11,0.895077818658934
3,0.16,1.151165598425641
4,0.21,1.265849413153476
5,0.26,1.188273291151466
6,0.31,1.145127095787008
7,0.36,1.1682489026480372
8,0.41,1.1021349012458899
9,0.46,1.0267482935886272
10,0.51,1.0072168696308081
11,0.56,1.0597240762007698
12,0.61,1.0519228208670977
13,0.66,1.0242385375067644
14,0.71,1.0311771407696297
15,0.76,1.0446198483590938
16,0.81,0.9533145513301038
17,0.86,0.9936163295171533
18,0.91,0.9404953344527269
19,0.96,0.972445177267362
