id,All ages M & F,M 0 to 4 years old,M 5 to 9 years,M 10 to 14 years,M 15 to 19 years,M 20 to 24 years,M 25 to 29 years,M 30 to 34 years,M 35 to 39 years,M 40 to 44 years,M 45 to 49 years,M 50 to 54 years,M 55 to 59 years,M 60 to 64 years,M 65 to 69 years,M 70 to 74 years,M 75 to 79 years,M 80 to 84 years,M 85 years and over,F 0 to 4 years old,F 5 to 9 years,F 10 to 14 years,F 15 to 19 years,F 20 to 24 years,F 25 to 29 years,F 30 to 34 years,F 35 to 39 years,F 40 to 44 years,F 45 to 49 years,F 50 to 54 years,F 55 to 59 years,F 60 to 64 years,F 65 to 69 years,F 70 to 74 years,F 75 to 79 years,F 80 to 84 years,F 85 years and over
0,100,3.43,3.48,3.83,3.73,2.98,3.23,3.23,3.63,3.68,4.28,3.93,3.33,2.29,1.69,1.29,0.85,0.55,0.30,3.37,3.47,3.42,3.47,2.82,3.37,3.22,3.52,3.82,4.27,3.82,3.32,2.56,1.86,1.46,1.11,0.75,0.60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
