,filename,dkl
0,0.01,0.014067904726090477
1,0.06,0.08949362490183534
2,0.11,0.23928301157184137
3,0.16,0.49963201323254663
4,0.21,0.5049504369640857
5,0.26,0.5480029979504779
6,0.31,0.5575177382261554
7,0.36,0.6255334736613996
8,0.41,0.6503250495786511
9,0.46,0.7266662188542352
10,0.51,0.6715912055834751
11,0.56,0.77648376271381
12,0.61,0.7972109853247502
13,0.66,0.8950416091027197
14,0.71,0.9238357066934366
15,0.76,0.9440552786936803
16,0.81,0.9969204634532312
17,0.86,0.9654970337574351
18,0.91,0.9585870349180285
19,0.96,1.0103549198374162
