,filename,mean_difference
0,0.1,0.21014005602240882
1,0.2,0.19612745098039203
2,0.3,0.1926307189542483
3,0.4,0.19591503267973834
4,0.5,0.20984126984126983
5,0.6,0.15963818860877657
6,0.7,0.17147058823529399
7,0.8,0.18115546218487377
8,0.9,0.17825863678804837
9,1.0,0.16223856209150303
10,1.1,0.1540709617180203
11,1.2,0.15109477124182985
12,1.3,0.13967320261437893
13,1.4,0.1219771241830064
14,1.5,0.10728524743230611
15,1.6,0.12306722689075614
16,1.7,0.09439075630252089
17,1.8,0.10166433239962643
18,1.9,0.11259803921568609
19,2.0,0.07844117647058817
20,2.1,0.09226517273576086
21,2.2,0.07601307189542478
22,2.3,0.06499999999999993
23,2.4,0.06676470588235288
24,2.5,0.04323529411764704
25,2.6,0.04852941176470584
26,2.7,0.04264705882352939
27,2.8,0.032941176470588224
28,2.9,0.03441176470588234
29,3.0,0.02735294117647057
30,3.1,0.024117647058823518
31,3.2,0.026764705882352934
32,3.3,0.01588235294117647
33,3.4,0.02026143790849672
34,3.5,0.017647058823529408
35,3.6,0.013823529411764702
36,3.7,0.008529411764705883
37,3.8,0.005588235294117647
38,3.9,0.005
39,4.0,0.00411764705882353
40,4.1,0.005
41,4.2,0.000588235294117647
42,4.3,0.001176470588235294
43,4.4,0.001764705882352941
44,4.5,0.0008823529411764705
45,4.6,0.003235294117647059
46,4.7,0.0002941176470588235
47,4.8,0.002352941176470588
48,4.9,0.0020588235294117644
49,5.0,0.0002941176470588235
50,5.1,0.0
51,5.2,0.0
52,5.3,0.0
53,5.4,0.0002941176470588235
54,5.5,0.0
55,5.6,0.0
56,5.7,0.0
57,5.8,0.0
58,5.9,0.0
59,6.0,0.0
60,6.1,0.0002941176470588235
61,6.2,0.0
62,6.3,0.0
63,6.4,0.0
64,6.5,0.0
65,6.6,0.0
66,6.7,0.0
67,6.8,0.0
68,6.9,0.0
