,filename,mean_difference
0,0.0,0.5601873252195834
1,0.5,0.5745125251092993
2,1.0,0.5467962109575013
3,1.5,0.6011961151154699
4,2.0,0.5859767156380059
5,2.5,0.5539670231202489
6,3.0,0.5502311040214266
7,3.5,0.5260714778053488
8,4.0,0.6267485919098823
9,4.5,0.5646230651069362
10,5.0,0.514279067706487
11,5.5,0.44919930875576036
12,6.0,0.5615739099610068
13,6.5,0.4901583362873686
14,7.0,0.46678541888219305
15,7.5,0.45414155736736384
16,8.0,0.4565663476308638
17,8.5,0.4700545019496632
18,9.0,0.36724559848753396
19,9.5,0.4105990783410138
