,filename,dkl
0,0.01,0.5930128463639057
1,0.06,1.8565333855653572
2,0.11,1.6217858309705877
3,0.16,1.6351488719343916
4,0.21,1.606624844287606
5,0.26,1.5266540872728547
6,0.31,1.552788446130575
7,0.36,1.5828254281175835
8,0.41,1.577943763476166
9,0.46,1.540401405451527
10,0.51,1.5924456039014847
11,0.56,1.5530827081034575
12,0.61,1.5171830543018556
13,0.66,1.5421444207970074
14,0.71,1.567261522318016
15,0.76,1.5153049568930905
16,0.81,1.5175858263595696
17,0.86,1.5145878783057505
18,0.91,1.5032262497235234
19,0.96,1.509623020151056
