,filename,dkl
0,0.01,0.0013519444264602643
1,0.06,0.010431931838317383
2,0.11,0.025557661567396295
3,0.16,0.050636420268285603
4,0.21,0.10727473438245184
5,0.26,0.15463586898644074
6,0.31,0.15376574030429116
7,0.36,0.15930061037150445
8,0.41,0.16490778770439257
9,0.46,0.17757488951971032
10,0.51,0.18978903660276752
11,0.56,0.20327594145383737
12,0.61,0.21547770555165724
13,0.66,0.2281591525202965
14,0.71,0.24596478957508347
15,0.76,0.2766416946976202
16,0.81,0.29609442970834476
17,0.86,0.3263874728231979
18,0.91,0.35206179917136654
19,0.96,0.39298829978729166
