,filename,dkl
0,0.01,0.0008352460115383238
1,0.06,0.008857851629539504
2,0.11,0.023897174045448097
3,0.16,0.04622397679418138
4,0.21,0.08944330623497695
5,0.26,0.12879954020098847
6,0.31,0.13181103161421975
7,0.36,0.14224473538009072
8,0.41,0.14954381337148687
9,0.46,0.15965348068452478
10,0.51,0.1690164736735576
11,0.56,0.18305526283056303
12,0.61,0.20021204037911133
13,0.66,0.21972064838488034
14,0.71,0.2476870611694507
15,0.76,0.25822164324650065
16,0.81,0.2818291252409971
17,0.86,0.3160568969595845
18,0.91,0.34919071281077363
19,0.96,0.3858751503353281
